machine_id,line_id,area,machine_type,commissioned_date,rated_speed_rpm,rated_pressure_bar,sensor_pack,criticality
MCH-001,LINE-A,Assembly,Compressor Assembly,22-02-2023,3503,12,S2,low
MCH-002,LINE-D,HeatTreat,CNC Turning,01-05-2018,3696,10,S2,medium
MCH-003, line-b,Packaging,Leak Test,08-09-2015,2505,11,S1,low
MCH-004,LINE-B,Packaging,CNC Turning,23-03-2019,3614,7,S2,medium
MCH-005,LINE-B,Testing,Heat Treatment,26-02-2022,3725,7,S2,High
MCH-006,LINE-D,HeatTreat,Heat Treatment,14-09-2016,2362,11,S3,medium
MCH-007,LINE-A,Testing,Heat Treatment,01-03-2019,3894,10,S3,medium
MCH-008,LINE-C,Testing,Rotor Machining,02-03-2016,2064,11,S2,medium
MCH-009,LINE-A,Testing,Leak Test,05-03-2021,1918,12,S2,medium
MCH-010,LINE-A,Machining,Leak Test,12-04-2019,3247,11,S2,low
MCH-011,LINE-a ,Assembly,Leak Test,20-12-2017,3110,10,S2,low
MCH-012,LINE-D,Testing,Compressor Assembly,15-01-2017,1619,11,S3,high
MCH-013,LINE-C,HeatTreat,Packaging,29-01-2020,3698,8,S1,high
MCH-014,LINE-D,Assembly,Compressor Assembly,09-01-2021,1799,6,S1,medium
MCH-015,LINE-C,HeatTreat,Heat Treatment,16-06-2023,3614,10,S2,medium
MCH-016,LINE-D,HeatTreat,Heat Treatment,07-12-2018,1222,8,S1,high
MCH-017,LINE-C,Machining,CNC Turning,11-06-2016,3590,9,S1,medium
MCH-018,LINE-A,Packaging,Heat Treatment,28-06-2022,3560,13,S1,medium
MCH-019,LINE-D,Assembly,Leak Test,30-08-2020,3541,8,S3,medium
MCH-020,LINE-B,Packaging,CNC Turning,19-04-2021,3194,7,S3,medium
MCH-021,LINE-C,Packaging,Leak Test,16-11-2015,2614,8,S3,low
MCH-022,LINE-B,Machining,Rotor Machining,23-10-2017,3315,8,S2,high
